Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
09/12/2023 00:00,,C,,,1990,,,,,62.9,,33,65,0.967692308,<2010,NON_EURO,0.3,-0.009692308,TRUE
18/09/2013,M,C,D1,Solar,1991,Diesel,4000,3.5,296809,97.9,2013,22,65,1.506153846,<2010,NON_EURO,0.3,0.151846154,FALSE
26/10/2023 00:00,,C,,,1992,,,,,52,,31,65,0.8,<2010,NON_EURO,0.3,-0.06,TRUE
26/07/2018,M,C,D1,Solar,1992,Diesel,2500,3,25316,92.4,2018,26,65,1.421538462,<2010,NON_EURO,0.3,0.126461539,FALSE
01/11/2023 00:00,,C,,,1993,,,,,74,,30,65,1.138461538,<2010,NON_EURO,0.3,0.041538462,FALSE
27/08/2024 00:00,,C,,,1993,,,,,34.3,,31,65,0.527692308,<2010,NON_EURO,0.3,-0.141692308,TRUE
28/08/2023 00:00,,C,,,1994,,,,,18,,29,50,0.36,<2010,NON_EURO,0.3,-0.192,TRUE
11/09/2013,M,C,D1,Solar,1994,Diesel,3298,1,577069,56.2,2013,19,65,0.864615385,<2010,NON_EURO,0.3,-0.040615385,TRUE
18/09/2013,M,C,D1,Solar,1994,Diesel,3500,3.5,162950,31.5,2013,19,65,0.484615385,<2010,NON_EURO,0.3,-0.154615384,TRUE
02/09/2023 00:00,,C,,,1994,,,,,43,,29,50,0.86,<2010,NON_EURO,0.3,-0.042,TRUE
16/05/2017,M,C,D1,Solar,1994,Diesel,2500,2,115670,38.4,2017,23,65,0.590769231,<2010,NON_EURO,0.3,-0.122769231,TRUE
17/07/2018,M,C,D1,Solar,1994,Diesel,3000,3,113094,70.7,2018,24,65,1.087692308,<2010,NON_EURO,0.3,0.026307692,FALSE
07/10/2015,M,C,D1,Solar,1994,Diesel,3000,3,8476311,39,2015,21,65,0.6,<2010,NON_EURO,0.3,-0.12,TRUE
12/05/2016,M,C,D1,Solar,1995,Diesel,3600,3.5,67280,53.4,2016,21,65,0.821538462,<2010,NON_EURO,0.3,-0.053538461,TRUE
26/08/2023 00:00,,C,,,1995,,,,,34,,28,50,0.68,<2010,NON_EURO,0.3,-0.096,TRUE
12/09/2013,M,C,D1,Solar,1995,Diesel,3000,1,14135,29.8,2013,18,65,0.458461538,<2010,NON_EURO,0.3,-0.162461539,TRUE
06/10/2015,M,C,D1,Solar,1995,Diesel,1500,3,667880,22.3,2015,20,65,0.343076923,<2010,NON_EURO,0.3,-0.197076923,TRUE
23/06/2022,M,C,D3,Solar,1995,Diesel,2771,30,433350,32.8,2022,27,65,0.504615385,<2010,NON_EURO,0.3,-0.148615384,TRUE
07/11/2023 00:00,,C,,,1995,,,,,46,,28,65,0.707692308,<2010,NON_EURO,0.3,-0.087692308,TRUE
10/05/2016,M,C,D1,Solar,1995,Diesel,4000,3.5,20026.2573,31.9,2016,21,65,0.490769231,<2010,NON_EURO,0.3,-0.152769231,TRUE
05/12/2024 00:00,,C,,,1995,,,,,65,,29,65,1,<2010,NON_EURO,0.3,0,TRUE
