Klasifikasi,Segmen Tahun,Q1,Median,Q3,P95,Max
C,<2010,1.138461538,1.310769231,1.472307692,1.536307692,1.94
C,2010-2021,1.254,1.5925,2.0875,2.46,2.4975
C,>2021,1.066666667,1.1,1.21625,1.731666667,3.316666667
D,<2010,1.283461539,1.45,1.524230769,1.698576923,1.754
D,2010-2021,1.3625,1.625,2.10375,2.42725,2.4675
D,>2021,1.188333334,1.275,2.1675,2.773333333,2.866666667
E,<2010,1.216666667,1.216666667,1.216666667,1.216666667,1.216666667
E,2010-2021,1.36,1.4,1.56,1.698,1.7325
E,>2021,,,,,
F,<2010,1.29474359,1.4,1.444166667,1.8121,1.958
F,2010-2021,1.20825,1.492,1.84,2.187,2.47
F,>2021,1.046666667,1.091666667,1.154166667,2.009166667,2.29
G,<2010,1.141538462,1.323076923,1.486923077,1.522923077,1.532307692
G,2010-2021,1.17875,1.51,2.011625,2.3355,2.4725
G,>2021,1.033333333,1.033333333,1.033333333,1.033333333,1.033333333
