Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK
1990,01/03/2023,0.39,166,33,NON_EURO,5.5,2200,0.070909091,0.075454545,<2010,0.2,-0.185818182,-0.184909091,TRUE
1991,01/09/2023,0.06,142,32,NON_EURO,5.5,2200,0.010909091,0.064545455,<2010,0.2,-0.197818182,-0.187090909,TRUE
1992,30/08/2023,4.01,396,31,NON_EURO,5.5,2200,0.729090909,0.18,<2010,0.2,-0.054181818,-0.164,TRUE
1993,02/09/2023,1.49,4840,30,NON_EURO,5.5,2200,0.270909091,2.2,<2010,0.2,-0.145818182,0.24,FALSE
1994,02/03/2023,3,1717,29,NON_EURO,5.5,2200,0.545454545,0.780454545,<2010,0.2,-0.090909091,-0.043909091,TRUE
1995,04/11/2023,0,5842,28,NON_EURO,5.5,2200,0,2.655454545,<2010,0.2,-0.2,0.331090909,FALSE
1995,19/08/2024,5.56,8182,29,NON_EURO,5.5,2200,1.010909091,3.719090909,<2010,0.2,0.002181818,0.543818182,FALSE
1996,11/09/2023,3.1,219,27,NON_EURO,5.5,2200,0.563636364,0.099545455,<2010,0.2,-0.087272727,-0.180090909,TRUE
1996,21/02/2023,3.41,9999,27,NON_EURO,5.5,2200,0.62,4.545,<2010,0.2,-0.076,0.709,FALSE
1996,04/09/2023,2.46,165,27,NON_EURO,5.5,2200,0.447272727,0.075,<2010,0.2,-0.110545455,-0.185,TRUE
1997,08/09/2023,2.86,1985,26,NON_EURO,5.5,2200,0.52,0.902272727,<2010,0.2,-0.096,-0.019545455,TRUE
1997,01/09/2023,6.4,780,26,NON_EURO,5.5,2200,1.163636364,0.354545455,<2010,0.2,0.032727273,-0.129090909,FALSE
1997,22/09/2023,2.83,1006,26,NON_EURO,5.5,2200,0.514545455,0.457272727,<2010,0.2,-0.097090909,-0.108545455,TRUE
1998,14/03/2023,4.16,363,25,NON_EURO,5.5,2200,0.756363636,0.165,<2010,0.2,-0.048727273,-0.167,TRUE
1999,24/07/2024,9.25,2240,25,NON_EURO,5.5,2200,1.681818182,1.018181818,<2010,0.2,0.136363636,0.003636364,FALSE
2000,13/09/2023,3.66,4639,23,NON_EURO,5.5,2200,0.665454545,2.108636364,<2010,0.2,-0.066909091,0.221727273,FALSE
2000,01/09/2023,4.93,1966,23,NON_EURO,5.5,2200,0.896363636,0.893636364,<2010,0.2,-0.020727273,-0.021272727,TRUE
2001,04/09/2023,8.35,9999,22,NON_EURO,5.5,2200,1.518181818,4.545,<2010,0.2,0.103636364,0.709,FALSE
2001,01/09/2023,2.92,739,22,NON_EURO,5.5,2200,0.530909091,0.335909091,<2010,0.2,-0.093818182,-0.132818182,TRUE
2001,25/08/2023,4.58,229,22,NON_EURO,5.5,2200,0.832727273,0.104090909,<2010,0.2,-0.033454545,-0.179181818,TRUE
2001,31/08/2023,0,409,22,NON_EURO,5.5,2200,0,0.185909091,<2010,0.2,-0.2,-0.162818182,TRUE
2001,15/12/2023,5.96,1268,22,NON_EURO,5.5,2200,1.083636364,0.576363636,<2010,0.2,0.016727273,-0.084727273,FALSE
2001,04/09/2023,7.13,183,22,NON_EURO,5.5,2200,1.296363636,0.083181818,<2010,0.2,0.059272727,-0.183363636,FALSE
2002,21/08/2023,1.86,9999,21,NON_EURO,5.5,2200,0.338181818,4.545,<2010,0.2,-0.132363636,0.709,FALSE
2002,06/06/2023,0.87,547,21,NON_EURO,5.5,2200,0.158181818,0.248636364,<2010,0.2,-0.168363636,-0.150272727,TRUE
2002,12/09/2023,1.06,121,21,NON_EURO,5.5,2200,0.192727273,0.055,<2010,0.2,-0.161454545,-0.189,TRUE
2002,05/09/2023,1.5,80,21,NON_EURO,5.5,2200,0.272727273,0.036363636,<2010,0.2,-0.145454545,-0.192727273,TRUE
2002,03/09/2023,2.29,215,21,NON_EURO,5.5,2200,0.416363636,0.097727273,<2010,0.2,-0.116727273,-0.180454545,TRUE
2002,31/08/2023,2.97,442,21,NON_EURO,5.5,2200,0.54,0.200909091,<2010,0.2,-0.092,-0.159818182,TRUE
2002,04/10/2023,0.08,6,21,NON_EURO,5.5,2200,0.014545455,0.002727273,<2010,0.2,-0.197090909,-0.199454545,TRUE
2002,06/11/2023,9.27,1764,21,NON_EURO,5.5,2200,1.685454545,0.801818182,<2010,0.2,0.137090909,-0.039636364,FALSE
2002,28/10/2024,2.88,408,22,NON_EURO,5.5,2200,0.523636364,0.185454545,<2010,0.2,-0.095272727,-0.162909091,TRUE
2002,09/11/2023,8.45,519,21,NON_EURO,5.5,2200,1.536363636,0.235909091,<2010,0.2,0.107272727,-0.152818182,FALSE
2002,04/09/2023,4.13,995,21,NON_EURO,5.5,2200,0.750909091,0.452272727,<2010,0.2,-0.049818182,-0.109545455,TRUE
2002,27/10/2023,1.19,154,21,NON_EURO,5.5,2200,0.216363636,0.07,<2010,0.2,-0.156727273,-0.186,TRUE
2002,30/10/2023,4.03,9999,21,NON_EURO,5.5,2200,0.732727273,4.545,<2010,0.2,-0.053454545,0.709,FALSE
2003,13/09/2023,9.43,1906,20,NON_EURO,5.5,2200,1.714545455,0.866363636,<2010,0.2,0.142909091,-0.026727273,FALSE
2003,28/08/2023,3.24,918,20,NON_EURO,5.5,2200,0.589090909,0.417272727,<2010,0.2,-0.082181818,-0.116545455,TRUE
2003,21/08/2023,8.05,2623,20,NON_EURO,5.5,2200,1.463636364,1.192272727,<2010,0.2,0.092727273,0.038454545,FALSE
2003,30/04/2024,6.2,737,21,NON_EURO,5.5,2200,1.127272727,0.335,<2010,0.2,0.025454545,-0.133,FALSE
2003,31/08/2023,9.99,8220,20,NON_EURO,5.5,2200,1.816363636,3.736363636,<2010,0.2,0.163272727,0.547272727,FALSE
2003,17/09/2023,0.24,357,20,NON_EURO,5.5,2200,0.043636364,0.162272727,<2010,0.2,-0.191272727,-0.167545455,TRUE
2003,02/09/2023,4.08,10260,20,NON_EURO,5.5,2200,0.741818182,4.663636364,<2010,0.2,-0.051636364,0.732727273,FALSE
2003,07/09/2023,0.75,46,20,NON_EURO,5.5,2200,0.136363636,0.020909091,<2010,0.2,-0.172727273,-0.195818182,TRUE
2003,01/11/2023,4.7,309,20,NON_EURO,5.5,2200,0.854545455,0.140454545,<2010,0.2,-0.029090909,-0.171909091,TRUE
2003,08/09/2023,1.67,1661,20,NON_EURO,5.5,2200,0.303636364,0.755,<2010,0.2,-0.139272727,-0.049,TRUE
2003,28/10/2023,0,32,20,NON_EURO,5.5,2200,0,0.014545455,<2010,0.2,-0.2,-0.197090909,TRUE
2003,29/08/2023,1.26,1244,20,NON_EURO,5.5,2200,0.229090909,0.565454545,<2010,0.2,-0.154181818,-0.086909091,TRUE
2003,16/10/2023,8.18,801,20,NON_EURO,5.5,2200,1.487272727,0.364090909,<2010,0.2,0.097454545,-0.127181818,FALSE
