Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK,,,,,,,
2003,02/09/2023,4.08,10260,20,NON_EURO,5.5,2200,0.741818182,4.663636364,<2010,0.2,-0.051636364,0.732727273,FALSE,,,,,,,
2001,04/09/2023,8.35,9999,22,NON_EURO,5.5,2200,1.518181818,4.545,<2010,0.2,0.103636364,0.709,FALSE,,EURO2,1.001666667,,,,
2002,30/10/2023,4.03,9999,21,NON_EURO,5.5,2200,0.732727273,4.545,<2010,0.2,-0.053454545,0.709,FALSE,,,,,,,
1996,21/02/2023,3.41,9999,27,NON_EURO,5.5,2200,0.62,4.545,<2010,0.2,-0.076,0.709,FALSE,Max,NON_EURO,4.663636364,3.798181818,,,
2002,21/08/2023,1.86,9999,21,NON_EURO,5.5,2200,0.338181818,4.545,<2010,0.2,-0.132363636,0.709,FALSE,,,,,,,
2003,02/09/2023,0,9999,20,NON_EURO,5.5,2200,0,4.545,<2010,0.2,-0.2,0.709,FALSE,,,,,,,
2004,29/08/2023,8.81,9693,19,NON_EURO,5.5,2200,1.601818182,4.405909091,<2010,0.2,0.120363636,0.681181818,FALSE,,,,,,,
2005,08/09/2023,3.4,9476,18,NON_EURO,5.5,2200,0.618181818,4.307272727,<2010,0.2,-0.076363636,0.661454545,FALSE,,,,,,,
2005,08/09/2023,3.4,9476,18,NON_EURO,5.5,2200,0.618181818,4.307272727,<2010,0.2,-0.076363636,0.661454545,FALSE,,,,,,,
2004,14/03/2023,7.17,8900,19,NON_EURO,5.5,2200,1.303636364,4.045454545,<2010,0.2,0.060727273,0.609090909,FALSE,,,,,,,
2003,31/08/2023,9.99,8220,20,NON_EURO,5.5,2200,1.816363636,3.736363636,<2010,0.2,0.163272727,0.547272727,FALSE,,,,,,,
1995,19/08/2024,5.56,8182,29,NON_EURO,5.5,2200,1.010909091,3.719090909,<2010,0.054,0.002181818,0.146830909,FALSE,,,,p95,,,
2005,26/02/2025,9.99,7588,20,NON_EURO,5.5,2200,1.816363636,3.449090909,<2010,0.2,0.163272727,0.489818182,FALSE,,,,,,,
2005,25/08/2023,9.99,6923,18,NON_EURO,5.5,2200,1.816363636,3.146818182,<2010,0.2,0.163272727,0.429363636,FALSE,,,,,,,
2005,08/09/2023,7.04,6644,18,NON_EURO,5.5,2200,1.28,3.02,<2010,0.2,0.056,0.404,FALSE,,,,,,,
2005,10/09/2023,7.63,6532,18,NON_EURO,5.5,2200,1.387272727,2.969090909,<2010,0.2,0.077454545,0.393818182,FALSE,,,,,,,
1995,04/11/2023,0,5842,28,NON_EURO,5.5,2200,0,2.655454545,<2010,0.2,-0.2,0.331090909,FALSE,,,2,2686,Euro F,CO I,HC J
